"","Year","ST","MWh","Carbon","Carbon Intensity"
"1298",2015,"MI",113008050,67119277,0.59
"1299",2015,"MN",56979768,30307101,0.53
"1300",2015,"MO",83640067,67995334,0.81
"1301",2015,"MS",64757864,25170683,0.39
"1302",2015,"MT",29302401,18135505,0.62
"1303",2015,"NC",128388445,53824140,0.42
"1304",2015,"ND",37156612,31245513,0.84
"1305",2015,"NE",39883391,25325783,0.63
"1306",2015,"NH",20015893,3653432,0.18
"1307",2015,"NJ",74608860,19427201,0.26
"1308",2015,"NM",32701398,24849830,0.76
"1309",2015,"NV",39046784,14752014,0.38
"1310",2015,"NY",138627721,32730725,0.24
"1311",2015,"OH",121893401,83722399,0.69
"1312",2015,"OK",76135596,41626050,0.55
"1313",2015,"OR",57866535,8986600,0.16
"1314",2015,"PA",214572291,90972612,0.42
"1315",2015,"RI",6939019,2873636,0.41
"1316",2015,"SC",96532213,29848999,0.31
"1317",2015,"SD",9633033,1941252,0.2
"1318",2015,"TN",75214636,37977033,0.5
"1319",2015,"TX",449826336,243386106,0.54
"1320",2015,"UT",41949120,33688196,0.8
"1321",2015,"VA",84411592,34897976,0.41
"1322",2015,"VT",1982047,11084,0.01
"1323",2015,"WA",109287458,11586243,0.11
"1324",2015,"WI",66360183,45194700,0.68
"1325",2015,"WV",72295269,66269845,0.92
"1326",2015,"WY",48966519,47475543,0.97
